"Aim Trucking Services, Inc.",
Profit and Loss,
"April 1-June 30, 2026",

,Total
Income,
Chassis Fees,"91,840.00"
Demurrage,"1,100.00"
FSC,"58,347.60"
HAZMAT INCOME,"2,575.00"
LINEHAUL,"190,010.01"
OTR LINEHAUL,"381,041.25"
Overweight Fee,"25,085.00"
Portpro_TMS,"38,505.00"
REEFER SURCHARGE,"1,800.00"
RGN LINEHAUL,"20,630.00"
Transload,"147,117.38"
TRI AXLE,675.00
YARD STORAGE 1,"1,215.00"
Total for Income,"$959,941.24"
Gross Profit,"$959,941.24"
Expenses,
Accessorial Charges,-262.50
Advertising,"1,675.00"
Bank Service Charges,288.00
Base Price,"528,092.50"
Business Licenses and Permits,"4,486.20"
Chassis Rental,"37,118.86"
Computer and Internet Expenses,"3,868.27"
CRANE FEE,"1,450.00"
DEMURRAGE EXPENSE,210.00
DONATIONS,"1,500.00"
Drayage,"58,436.25"
DRAYAGE -CA EXPENSE,"25,390.00"
Fuel,"3,848.23"
Health Insurance,
HRA Employee Benefit,"4,884.00"
Total for Health Insurance,"$4,884.00"
Insurance - Commercial,"55,057.91"
Driver Insurance Deduction,"-39,319.21"
Total for Insurance - Commercial,"$15,738.70"
NCB INSPECTION EXPENSE,"2,850.00"
Oversized Permit,618.00
Payroll Expenses,"44,467.39"
Referral Fee,"1,152.50"
Reimbursed Expenses,"1,260.42"
Repairs and Maintenance,325.00
Shrink Wrap,"2,055.00"
Transloading,"123,910.00"
WAREHOUSE STORAGE,"6,885.00"
Total for Expenses,"$870,246.82"
Net Operating Income,"$89,694.42"
Net Income,"$89,694.42"



"Accrual Basis Friday, July 10, 2026 04:36 PM GMTZ",
