"Aim Trucking Services, Inc.",
Profit and Loss,
"January 1-March 31, 2026",

,Total
Income,
AIM YARD STORAGE 1,140.00
Chassis Fees,"78,155.00"
Demurrage,"1,900.00"
FSC,"36,549.00"
HAZMAT INCOME,"5,050.00"
LINEHAUL,"194,340.00"
OTR LINEHAUL,"363,926.00"
Overweight Fee,"24,390.00"
PLACARD REMOVAL,100.00
Portpro_TMS,"15,247.50"
REEFER SURCHARGE,"1,500.00"
RGN LINEHAUL,"15,600.00"
Transload,"190,533.59"
TRI AXLE,225.00
YARD STORAGE 1,"2,720.00"
Total for Income,"$930,376.09"
Gross Profit,"$930,376.09"
Expenses,
Accessorial Charges,-950.00
ACCOUNTING SERVICES EXPENSE,"4,930.59"
Bank Service Charges,243.00
Base Price,"488,749.53"
Business Licenses and Permits,98.00
Chassis Rental,"39,543.02"
Computer and Internet Expenses,"2,248.43"
DAMAGES EXPENSE,"1,731.30"
Drayage,"58,504.50"
DRAYAGE -CA EXPENSE,"18,327.56"
Drug Screening,80.00
Dues and Subscriptions,409.00
Fuel,"-8,862.45"
Health Insurance,
HRA Employee Benefit,"4,084.00"
Total for Health Insurance,"$4,084.00"
Inland Transportation,497.00
Insurance - Commercial,"58,591.60"
Driver Insurance Deduction,"-43,925.37"
Total for Insurance - Commercial,"$14,666.23"
Oversized Permit,"1,204.06"
Payroll Expenses,"39,817.29"
Professional Fees,795.00
CPA Services,"1,260.42"
Total for Professional Fees,"$2,055.42"
Referral Fee,891.22
Reimbursed Expenses,510.22
Small Tools and Equipment,117.68
Transloading,"174,395.00"
Utilities,-951.84
WAREHOUSE STORAGE,"12,515.46"
Total for Expenses,"$854,854.22"
Net Operating Income,"$75,521.87"
Net Income,"$75,521.87"



"Accrual Basis Friday, July 10, 2026 04:37 PM GMTZ",
