Profit and Loss,
"Aim Trucking Services, Inc.",
"April 1-June 30, 2024",

Distribution account,Total
Income,
Chassis Fees,"43,010.00"
Customer Waiting Time,600.00
Flat Rack Surcharge,75.00
FSC,831.25
FUMIGATION SURCHARGE FR/OT,250.00
LINEHAUL,"235,245.85"
Overweight Fee,"7,175.00"
PLACARD REMOVAL,"1,500.00"
PREPULL,525.00
REEFER SURCHARGE,"2,100.00"
RGN LINEHAUL,"20,250.00"
STORAGE INCOME,"3,143.75"
Transload,"59,660.00"
TRI AXLE,75.00
Total for Income,"$374,440.85"
Cost of Goods Sold,
Gross Profit,"$374,440.85"
Expenses,
Advertising,"2,500.00"
Bank Service Charges,78.00
Base Price,"160,772.76"
Business Licenses and Permits,275.00
Chassis Rental,"15,687.76"
Computer and Internet Expenses,"2,490.72"
Drayage,"24,020.00"
Fuel,"-1,987.13"
Hazmat,"-5,125.00"
Health Insurance,"4,616.40"
HRA Employee Benefit,811.95
Total for Health Insurance,"$5,428.35"
Insurance - Commercial,"3,465.02"
Driver Insurance Deduction,"-10,433.35"
Total for Insurance - Commercial,"-$6,968.33"
Office Supplies,5.88
Oversized Permit,512.00
Overweight,225.00
Payroll Expenses,"27,599.99"
Pilot Car Escort,"1,000.00"
Placard Removal Cost,400.00
Reimbursed Expenses,180.00
Small Tools and Equipment,54.49
STORAGE,104.00
Transloading,"54,595.00"
Total for Expenses,"$281,848.49"
Net Operating Income,"$92,592.36"
Other Income,
Other Expenses,
Net Other Income,
Net Income,"$92,592.36"



"Accrual Basis Tuesday, October 28, 2025 12:31 PM GMTZ",
